N,i,time
100000,51,0.0184477
100000,56,0.018531
100000,61,0.0179863
100000,66,0.0185723
100000,71,0.0184553
100000,76,0.0189037
100000,81,0.0183353
100000,86,0.0184933
100000,91,0.0190407
100000,96,0.0181687
100000,101,0.0187057
100000,106,0.0189507
100000,111,0.0186613
100000,116,0.018985
100000,121,0.0187987
100000,126,0.0199707
100000,131,0.018711
100000,136,0.0185463
100000,141,0.0184787
100000,146,0.0184953
100000,151,0.0186237
100000,156,0.0186717
100000,161,0.0185453
100000,166,0.0185027
100000,171,0.0186353
100000,176,0.0191073
100000,181,0.0190677
100000,186,0.0183147
100000,191,0.0186663
100000,196,0.0221427
100000,201,0.0221667
100000,206,0.0226387
100000,211,0.0219763
100000,216,0.0223203
100000,221,0.022011
100000,226,0.0225897
100000,231,0.0226627
100000,236,0.0221887
100000,241,0.0223877
100000,246,0.02283
100000,251,0.0222617
100000,256,0.022646
100000,261,0.0218733
100000,266,0.0239497
100000,271,0.0218173
100000,276,0.0219503
100000,281,0.0223047
100000,286,0.0225487
100000,291,0.0225173
100000,296,0.0228713
100000,301,0.0225453
100000,306,0.022255
100000,311,0.021972
100000,316,0.0228177
100000,321,0.0221473
100000,326,0.022153
100000,331,0.0225807
100000,336,0.0226267
100000,341,0.0226533
100000,346,0.0246553
100000,351,0.0227673
100000,356,0.022405
100000,361,0.022154
100000,366,0.022404
100000,371,0.022193
100000,376,0.0219613
100000,381,0.022109
100000,386,0.0227257
100000,391,0.0313267
100000,396,0.0323483
100000,401,0.0313897
100000,406,0.0309497
100000,411,0.031005
100000,416,0.031078
100000,421,0.031107
100000,426,0.0312583
100000,431,0.032879
100000,436,0.0311093
100000,441,0.0315513
100000,446,0.031212
100000,451,0.0322877
100000,456,0.032078
100000,461,0.0313197
100000,466,0.031099
100000,471,0.030889
100000,476,0.031191
100000,481,0.0313077
100000,486,0.0329213
100000,491,0.0312257
100000,496,0.0334563
100000,501,0.0311513
100000,634,0.0316563
100000,767,0.031122
100000,900,0.049423
100000,1033,0.0500037
100000,1166,0.0500513
100000,1299,0.050385
100000,1432,0.0500143
100000,1565,0.0950433
100000,1698,0.094197
100000,1831,0.095491
100000,1964,0.0950387
100000,2097,0.094849
100000,2230,0.0949367
100000,2363,0.0941807
100000,2496,0.095757
100000,2629,0.09573
100000,2762,0.0945513
100000,2895,0.0951297
100000,3028,0.094891
100000,3161,0.182937
100000,3294,0.181239
100000,3427,0.181767
100000,3560,0.183413
100000,3693,0.183682
100000,3826,0.182367
100000,3959,0.182633
100000,4092,0.182486
100000,4225,0.182284
100000,4358,0.181349
100000,4491,0.179951
100000,4624,0.179043
100000,4757,0.179906
100000,4890,0.180157
100000,5023,0.180344
100000,5156,0.179092
100000,5289,0.18054
100000,5422,0.182667
100000,5555,0.178645
100000,5688,0.180953
100000,5821,0.180649
100000,5954,0.182471
100000,6087,0.18057
100000,6220,0.179682
100000,6353,0.351954
100000,6486,0.354538
100000,6619,0.354683
100000,6752,0.352058
100000,6885,0.353279
100000,7018,0.352086
100000,7151,0.358414
100000,7284,0.35353
100000,7417,0.350923
100000,7550,0.349453
100000,7683,0.351041
100000,7816,0.355201
100000,7949,0.352565
100000,8082,0.354589
100000,8215,0.354794
100000,8348,0.356407
100000,8481,0.355775
100000,8614,0.353311
100000,8747,0.353716
100000,8880,0.352541
100000,9013,0.355736
100000,9146,0.355382
100000,9279,0.354929
100000,9412,0.352637
100000,9545,0.35461
100000,9678,0.352071
100000,9811,0.355559
100000,9944,0.355109
100000,10077,0.354674
100000,10210,0.353858
100000,10343,0.356171
100000,10476,0.355114
100000,10609,0.358041
100000,10742,0.355783
100000,10875,0.3558
100000,11008,0.355736
100000,11141,0.354145
100000,11274,0.354983
100000,11407,0.355393
100000,11540,0.353331
100000,11673,0.35529
100000,11806,0.35674
100000,11939,0.354563
100000,12072,0.35298
100000,12205,0.356265
100000,12338,0.355294
100000,12471,0.356486
100000,12604,0.705017
100000,12737,0.707878
100000,12870,0.707366
100000,13003,0.70438
100000,13136,0.70129
100000,13269,0.702945
100000,13402,0.704689
100000,13535,0.706037
100000,13668,0.706386
100000,13801,0.706027
100000,13934,0.70443
100000,14067,0.707649
100000,14200,0.708183
100000,14333,0.70664
100000,14466,0.709026
100000,14599,0.70243
100000,14732,0.70596
100000,14865,0.702895
100000,14998,0.705983
100000,15131,0.707865
100000,15264,0.708578
100000,15397,0.707405
100000,15530,0.706838
100000,15663,0.705491
100000,15796,0.709958
100000,15929,0.708595
100000,16062,0.70847
100000,16195,0.70577
100000,16328,0.712021
100000,16461,0.706662
100000,16594,0.707741
100000,16727,0.703168
100000,16860,0.704761
100000,16993,0.704331
100000,17126,0.698317
100000,17259,0.703062
100000,17392,0.702285
100000,17525,0.702899
100000,17658,0.69869
100000,17791,0.70353
100000,17924,0.704783
100000,18057,0.704238
100000,18190,0.704851
100000,18323,0.704937
100000,18456,0.702328
100000,18589,0.704897
100000,18722,0.703136
100000,18855,0.70721
100000,18988,0.710648
100000,19121,0.706797
100000,19254,0.710285
100000,19387,0.710026
100000,19520,0.711205
100000,19653,0.709493
100000,19786,0.707024
100000,19919,0.708546
